Year,StateAbbr,StateDesc,LocationName,Measure,Data_Value
2023,CO,Colorado,Yuma,Obesity among adults,28.4
2023,FL,Florida,Brevard,Diagnosed diabetes among adults,13.1
2023,FL,Florida,Citrus,Diagnosed diabetes among adults,15.8
2023,GA,Georgia,Catoosa,Obesity among adults,33.9
2023,GA,Georgia,Peach,Obesity among adults,39.3
2023,GA,Georgia,Twiggs,Obesity among adults,39.7
2023,IL,Illinois,Cook,Obesity among adults,31.0
2023,IA,Iowa,Tama,Obesity among adults,40.2
2023,KS,Kansas,Barber,Binge drinking among adults,14.5
2023,KS,Kansas,Haskell,Diagnosed diabetes among adults,13.2
2023,KS,Kansas,Wabaunsee,Obesity among adults,35.1
2023,MN,Minnesota,Blue Earth,Diagnosed diabetes among adults,9.4
2023,MN,Minnesota,Grant,Obesity among adults,39.7
2023,MN,Minnesota,Jackson,Binge drinking among adults,16.7
2023,NE,Nebraska,Dawes,Obesity among adults,35.5
2023,NE,Nebraska,Garfield,Obesity among adults,38.8
2023,NE,Nebraska,Perkins,Obesity among adults,40.7
2023,NE,Nebraska,Wayne,Obesity among adults,37.3
2023,NV,Nevada,Mineral,Obesity among adults,38.4
2023,NY,New York,Ontario,Diagnosed diabetes among adults,10.5
2023,NC,North Carolina,Alexander,Obesity among adults,36.5
2023,NC,North Carolina,Halifax,Obesity among adults,42.6
2023,NC,North Carolina,Henderson,Obesity among adults,30.3
2023,NC,North Carolina,Pamlico,Obesity among adults,36.0
2023,NC,North Carolina,Richmond,Obesity among adults,42.9
2023,ND,North Dakota,Adams,Binge drinking among adults,16.2
2023,ND,North Dakota,Golden Valley,Obesity among adults,37.6
2023,OH,Ohio,Brown,Obesity among adults,41.6
2023,OH,Ohio,Butler,Obesity among adults,39.0
2023,OH,Ohio,Fulton,Binge drinking among adults,16.2
2023,OH,Ohio,Highland,Obesity among adults,41.3
2023,OH,Ohio,Lucas,Obesity among adults,36.1
2023,OH,Ohio,Miami,Obesity among adults,33.6
2023,OH,Ohio,Scioto,Obesity among adults,44.7
2023,OK,Oklahoma,Greer,Diagnosed diabetes among adults,13.0
2023,OK,Oklahoma,Oklahoma,Obesity among adults,37.9
2023,SC,South Carolina,Colleton,Obesity among adults,39.3
2023,SC,South Carolina,Pickens,Obesity among adults,35.4
2023,TN,Tennessee,Union,Diagnosed diabetes among adults,14.6
2023,TX,Texas,Mills,Obesity among adults,33.0
2023,TX,Texas,Moore,Obesity among adults,39.0
2023,TX,Texas,Rains,Binge drinking among adults,15.8
2023,UT,Utah,Weber,Obesity among adults,34.7
2023,VA,Virginia,Amherst,Diagnosed diabetes among adults,15.1
2023,VA,Virginia,Augusta,Diagnosed diabetes among adults,13.2
2023,VA,Virginia,Sussex,Obesity among adults,45.5
2023,WV,West Virginia,Ohio,Obesity among adults,40.1
2023,AL,Alabama,Calhoun,Binge drinking among adults,15.6
2023,CA,California,Kern,No leisure-time physical activity among adults,31.9
2023,AR,Arkansas,Johnson,Current cigarette smoking among adults,18.3
2023,AZ,Arizona,Mohave,No leisure-time physical activity among adults,29.7
2023,AL,Alabama,Covington,Obesity among adults,38.1
2023,AK,Alaska,Dillingham,Binge drinking among adults,18.2
2023,AL,Alabama,Marshall,Diagnosed diabetes among adults,12.4
2023,CA,California,Colusa,Current cigarette smoking among adults,13.5
2023,AR,Arkansas,Nevada,Obesity among adults,44.0
2023,CA,California,Placer,Obesity among adults,27.2
2023,AR,Arkansas,Howard,Diagnosed diabetes among adults,15.2
2023,AL,Alabama,Coffee,No leisure-time physical activity among adults,28.8
2023,AR,Arkansas,Woodruff,Binge drinking among adults,14.7
2023,AL,Alabama,Winston,Binge drinking among adults,16.0
2023,AZ,Arizona,Graham,Current cigarette smoking among adults,15.2
2023,AK,Alaska,Juneau,Binge drinking among adults,20.0
2023,CA,California,Inyo,No leisure-time physical activity among adults,21.1
2023,AL,Alabama,Choctaw,Obesity among adults,44.4
2023,AR,Arkansas,Lawrence,No leisure-time physical activity among adults,34.8
2023,AR,Arkansas,Howard,Binge drinking among adults,15.4
2023,AR,Arkansas,Clark,Current cigarette smoking among adults,15.0
2023,AL,Alabama,Lee,Obesity among adults,39.9
2023,AL,Alabama,Monroe,Binge drinking among adults,13.4
2023,AL,Alabama,Pike,Obesity among adults,40.3
2023,AR,Arkansas,Drew,Obesity among adults,45.0
2023,AR,Arkansas,Marion,Binge drinking among adults,12.5
2023,CA,California,Mono,Diagnosed diabetes among adults,10.5
2023,AK,Alaska,Chugach,No leisure-time physical activity among adults,20.9
2023,AL,Alabama,Covington,Diagnosed diabetes among adults,12.8
2023,AK,Alaska,Skagway,Binge drinking among adults,19.7
2023,CA,California,Sacramento,Binge drinking among adults,14.2
2023,AK,Alaska,Kenai Peninsula,Obesity among adults,32.3
2023,AL,Alabama,Clarke,Obesity among adults,44.2
2023,AR,Arkansas,Craighead,Current cigarette smoking among adults,16.2
2023,AL,Alabama,Bibb,Current cigarette smoking among adults,19.9
2023,AR,Arkansas,Howard,Obesity among adults,39.4
2023,CA,California,Amador,No leisure-time physical activity among adults,20.5
2023,AR,Arkansas,Woodruff,Diagnosed diabetes among adults,18.3
2023,AR,Arkansas,Sharp,Binge drinking among adults,13.1
2023,CA,California,Nevada,Current cigarette smoking among adults,11.5
2023,CA,California,Colusa,Diagnosed diabetes among adults,13.4
2023,AR,Arkansas,Hempstead,Diagnosed diabetes among adults,13.6
2023,CA,California,Napa,Current cigarette smoking among adults,10.4
2023,CA,California,Lassen,Current cigarette smoking among adults,16.2
2023,AZ,Arizona,Mohave,Current cigarette smoking among adults,17.1
2023,AR,Arkansas,Saline,No leisure-time physical activity among adults,27.8
2023,AR,Arkansas,Mississippi,Diagnosed diabetes among adults,13.4
2023,AZ,Arizona,Pinal,Obesity among adults,38.4
2023,AR,Arkansas,Chicot,Binge drinking among adults,13.5
2023,AR,Arkansas,Sebastian,Obesity among adults,36.4
2023,AK,Alaska,Kenai Peninsula,Diagnosed diabetes among adults,9.8
2023,AL,Alabama,Franklin,Current cigarette smoking among adults,19.5
2023,AR,Arkansas,Franklin,Obesity among adults,39.8
2023,AZ,Arizona,Greenlee,Current cigarette smoking among adults,11.6
2023,AL,Alabama,Washington,Binge drinking among adults,15.0
2023,AR,Arkansas,Drew,Diagnosed diabetes among adults,13.5
2023,AL,Alabama,Geneva,Obesity among adults,42.3
2023,CA,California,Glenn,Binge drinking among adults,16.4
2023,AK,Alaska,Nome,Current cigarette smoking among adults,28.7
2023,AK,Alaska,North Slope,Diagnosed diabetes among adults,10.8
2023,AR,Arkansas,White,Diagnosed diabetes among adults,10.9
2023,AL,Alabama,Chambers,No leisure-time physical activity among adults,32.5
2023,AR,Arkansas,Fulton,Current cigarette smoking among adults,21.4
2023,AK,Alaska,Prince of Wales-Hyder,Binge drinking among adults,18.0
2023,AL,Alabama,Calhoun,Current cigarette smoking among adults,16.3
2023,AR,Arkansas,Madison,Current cigarette smoking among adults,19.3
2023,AL,Alabama,Tallapoosa,Diagnosed diabetes among adults,16.8
2023,AR,Arkansas,Woodruff,Obesity among adults,39.2
2023,AR,Arkansas,Craighead,Diagnosed diabetes among adults,11.6
2023,AL,Alabama,Bibb,Diagnosed diabetes among adults,16.2
2023,AR,Arkansas,Cross,Current cigarette smoking among adults,20.0
2023,CA,California,Riverside,No leisure-time physical activity among adults,27.3
2023,AK,Alaska,Aleutians East,Binge drinking among adults,15.2
2023,AR,Arkansas,Sebastian,No leisure-time physical activity among adults,33.3
2023,AK,Alaska,Denali,No leisure-time physical activity among adults,20.4
2023,AL,Alabama,Lauderdale,Obesity among adults,36.7
2023,AZ,Arizona,Coconino,Binge drinking among adults,16.4
2023,AK,Alaska,Ketchikan Gateway,Current cigarette smoking among adults,16.0
2023,CA,California,Alameda,Current cigarette smoking among adults,9.3
