StateAbbr,Binge drinking among adults,Current cigarette smoking among adults,Diagnosed diabetes among adults,No leisure-time physical activity among adults,Obesity among adults
AK,17.837288135593223,19.139285714285712,10.96,24.465,35.57368421052632
AL,13.949253731343283,17.78230769230769,15.35820895522388,31.53358208955224,41.870400000000004
AR,14.59,18.374666666666666,13.860402684563757,35.146,40.96760563380281
AZ,15.383333333333333,14.355172413793104,12.19,25.06,33.263333333333335
CA,16.68521739130435,12.511818181818182,11.148245614035089,24.53103448275862,30.12962962962963
CO,17.97795275590551,12.769672131147543,9.615748031496063,19.573809523809526,27.134920634920636
CT,16.344444444444445,11.01875,9.238888888888889,24.461111111111112,30.505555555555556
DC,22.95,9.45,8.15,15.100000000000001,24.9
DE,14.700000000000001,13.25,12.266666666666666,27.616666666666664,37.760000000000005
FL,15.792537313432835,15.411111111111111,12.824626865671641,27.040298507462687,34.668217054263565
GA,14.543217665615142,17.21830065359477,14.47987421383648,30.718589743589746,38.442384105960265
HI,18.21,13.13,12.309999999999999,22.169999999999998,27.966666666666665
IA,20.9989898989899,15.93197969543147,11.02121212121212,25.90050505050505,39.35401069518716
ID,15.203409090909092,13.596511627906976,10.520454545454545,24.50344827586207,33.48170731707317
IL,18.84581280788177,15.312437810945275,11.389162561576354,24.139705882352942,38.54702702702703
IN,16.994021739130435,17.400549450549452,12.42445652173913,25.849999999999998,39.716763005780344
KS,16.533809523809524,15.97391304347826,11.388095238095238,28.126190476190477,38.6625
LA,17.13228346456693,19.923387096774192,15.34296875,33.28828125,42.09098360655738
MA,17.70714285714286,11.710714285714285,9.185714285714285,20.88214285714286,27.971999999999998
MD,15.608333333333334,12.85813953488372,11.716666666666667,24.264583333333334,36.297872340425535
ME,16.1375,15.7625,10.609375,23.834375,34.181481481481484
MI,16.99397590361446,16.221084337349396,11.57710843373494,25.44216867469879,37.900000000000006
MN,18.948850574712644,15.485882352941175,10.544508670520232,24.879885057471267,36.92574850299401
MO,16.454347826086956,19.131555555555558,12.308260869565217,31.91484716157205,38.86046511627907
MS,13.40245398773006,19.16024844720497,16.00548780487805,36.43841463414634,42.681935483870966
MT,20.439285714285713,15.682727272727272,10.365178571428572,23.11981981981982,33.43796296296296
NC,14.910606060606062,15.795384615384615,12.599494949494948,26.078391959798996,37.3821052631579
ND,20.775238095238095,15.322641509433963,10.928571428571429,24.793396226415094,38.71782178217822
NE,20.340860215053763,14.563783783783785,11.03978494623656,27.341081081081082,39.57897727272727
NH,16.619999999999997,11.883333333333333,8.895,20.735,31.58421052631579
NJ,16.40952380952381,11.455,10.1,24.27857142857143,29.3625
NM,14.18030303030303,14.76923076923077,13.56969696969697,27.484848484848484,35.03125
NV,16.88823529411765,16.467741935483872,11.673529411764704,26.21764705882353,34.83870967741935
NY,17.683739837398374,13.4,10.186290322580644,25.076612903225808,32.884166666666665
OH,17.285795454545454,17.262285714285714,12.546857142857142,28.621714285714287,38.92215568862275
OK,14.351633986928105,18.828104575163398,13.105882352941176,33.361038961038965,40.88630136986301
OR,16.069444444444443,13.790140845070423,11.560563380281689,21.893055555555556,35.39402985074627
RI,18.44,10.98,9.55,21.259999999999998,29.47
SC,15.292307692307691,15.818888888888889,14.992307692307692,29.190217391304348,38.99277108433735
SD,18.579545454545453,17.95343511450382,12.25114503816794,26.083333333333332,37.12362204724409
TN,14.75842105263158,20.52972972972973,13.707894736842105,29.13631578947368,39.78435754189944
TX,17.116733870967742,14.927125506072874,13.60577689243028,30.738877755511023,37.590721649484536
US,15.9,11.5,11.15,24.1,32.849999999999994
UT,11.796491228070176,10.089090909090908,9.929310344827586,19.50877192982456,31.69272727272727
VA,14.896992481203007,15.132558139534883,12.996603773584905,26.460150375939847,37.716996047430825
VT,17.535714285714285,12.348148148148148,8.425,20.048148148148147,30.338461538461537
WA,16.92051282051282,12.19342105263158,10.312820512820512,20.15324675324675,34.044155844155846
WI,19.877083333333335,15.238732394366197,11.096527777777778,27.952083333333334,38.72296296296297
WV,14.783636363636363,21.159633027522936,15.091818181818182,33.77090909090909,41.34563106796117
WY,16.1,14.470454545454546,10.504347826086956,25.51521739130435,34.071111111111115
